Title,URL,Volume Issue,Vol Issue Year
Temporal graph processing in modern memory hierarchies,https://www.sciencedirect.com/science/article/pii/S0306437924001200,Volume 127,January 2025
Effective data exploration through clustering of local attributive explanations,https://www.sciencedirect.com/science/article/pii/S0306437924001224,Volume 127,January 2025
Finding meaningful paths in heterogeneous graphs with PathWays,https://www.sciencedirect.com/science/article/pii/S0306437924001212,Volume 127,January 2025
Proactive conformance checking: An approach for predicting deviations in business processes,https://www.sciencedirect.com/science/article/pii/S0306437924001194,Volume 127,January 2025
Business process simulation: Probabilistic modeling of intermittent resource availability and multitasking behavior,https://www.sciencedirect.com/science/article/pii/S0306437924001297,Volume 127,January 2025
Advances on data management systems,https://www.sciencedirect.com/science/article/pii/S030643792400125X,Volume 127,January 2025
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437924001091,Volume 126,December 2024
Bot log mining: An approach to the integrated analysis of Robotic Process Automation and process mining,https://www.sciencedirect.com/science/article/pii/S0306437924000899,Volume 126,December 2024
An incremental algorithm for repairing denial constraint violations,https://www.sciencedirect.com/science/article/pii/S0306437924000930,Volume 126,December 2024
Unveiling the causes of waiting time in business processes from event logs,https://www.sciencedirect.com/science/article/pii/S0306437924000929,Volume 126,December 2024
PathEL: A novel collective entity linking method based on relationship paths in heterogeneous information networks,https://www.sciencedirect.com/science/article/pii/S0306437924000917,Volume 126,December 2024
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437924000978,Volume 125,November 2024
Heart failure prognosis prediction: Let’s start with the MDL-HFP model,https://www.sciencedirect.com/science/article/pii/S0306437924000668,Volume 125,November 2024
Enhancing Entity Resolution with a hybrid Active Machine Learning framework: Strategies for optimal learning in sparse datasets,https://www.sciencedirect.com/science/article/pii/S0306437924000681,Volume 125,November 2024
Storage Management with Multi-Version Partitioned BTrees,https://www.sciencedirect.com/science/article/pii/S0306437924000619,Volume 125,November 2024
FDM: Effective and efficient incident detection on sparse trajectory data,https://www.sciencedirect.com/science/article/pii/S0306437924000760,Volume 125,November 2024
Detecting the adversarially-learned injection attacks via knowledge graphs,https://www.sciencedirect.com/science/article/pii/S0306437924000772,Volume 125,November 2024
Analyzing workload trends for boosting triple stores performance,https://www.sciencedirect.com/science/article/pii/S0306437924000784,Volume 125,November 2024
SFTe: Temporal knowledge graphs embedding for future interaction prediction,https://www.sciencedirect.com/science/article/pii/S0306437924000814,Volume 125,November 2024
An efficient approach for discovering Graph Entity Dependencies (GEDs),https://www.sciencedirect.com/science/article/pii/S0306437924000796,Volume 125,November 2024
DOML: A new modeling approach to Infrastructure-as-Code,https://www.sciencedirect.com/science/article/pii/S0306437924000802,Volume 125,November 2024
Stream-aware indexing for distributed inequality join processing,https://www.sciencedirect.com/science/article/pii/S0306437924000838,Volume 125,November 2024
On the cognitive and behavioral effects of abstraction and fragmentation in modularized process models,https://www.sciencedirect.com/science/article/pii/S0306437924000826,Volume 125,November 2024
Enhancing transparency in public procurement: A data-driven analytics approach,https://www.sciencedirect.com/science/article/pii/S0306437924000887,Volume 125,November 2024
LS-ICE: A Load State Intercase Encoding framework for improved predictive monitoring of business processes,https://www.sciencedirect.com/science/article/pii/S0306437924000905,Volume 125,November 2024
Contrastive learning enhanced by graph neural networks for Universal Multivariate Time Series Representation,https://www.sciencedirect.com/science/article/pii/S0306437924000875,Volume 125,November 2024
Compressing generalized trajectories of molecular motion for efficient detection of chemical interactions,https://www.sciencedirect.com/science/article/pii/S030643792400084X,Volume 125,November 2024
TRGST: An enhanced generalized suffix tree for topological relations between paths,https://www.sciencedirect.com/science/article/pii/S0306437924000644,Volume 125,November 2024
"A survey of sequential recommendation systems: Techniques, evaluation, and future directions",https://www.sciencedirect.com/science/article/pii/S0306437924000851,Volume 125,November 2024
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437924000723,Volume 124,September 2024
Read-safe snapshots: An abort/wait-free serializable read method for read-only transactions on mixed OLTP/OLAP workloads,https://www.sciencedirect.com/science/article/pii/S0306437924000437,Volume 124,September 2024
TransLSTD: Augmenting hierarchical disease risk prediction model with time and context awareness via disease clustering,https://www.sciencedirect.com/science/article/pii/S0306437924000486,Volume 124,September 2024
GAMA: A multi-graph-based anomaly detection framework for business processes via graph neural networks,https://www.sciencedirect.com/science/article/pii/S0306437924000632,Volume 124,September 2024
Enhancing cross-market recommendations by addressing negative transfer and leveraging item co-occurrences,https://www.sciencedirect.com/science/article/pii/S0306437924000462,Volume 124,September 2024
Responsible composition and optimization of integration processes under correctness preserving guarantees,https://www.sciencedirect.com/science/article/pii/S0306437924000589,Volume 124,September 2024
BF-BigGraph: An efficient subgraph isomorphism approach using machine learning for big graph databases,https://www.sciencedirect.com/science/article/pii/S0306437924000590,Volume 124,September 2024
Learning complex predicates for cardinality estimation using recursive neural networks,https://www.sciencedirect.com/science/article/pii/S0306437924000607,Volume 124,September 2024
MBDL: Exploring dynamic dependency among various types of behaviors for recommendation,https://www.sciencedirect.com/science/article/pii/S0306437924000656,Volume 124,September 2024
HUM-CARD: A human crowded annotated real dataset,https://www.sciencedirect.com/science/article/pii/S030643792400067X,Volume 124,September 2024
"Process-related user interaction logs: State of the art, reference model, and object-centric implementation",https://www.sciencedirect.com/science/article/pii/S0306437924000449,Volume 124,September 2024
Enjoy the silence: Analysis of stochastic Petri nets with silent transitions,https://www.sciencedirect.com/science/article/pii/S0306437924000413,Volume 124,September 2024
A chance for models to show their quality: Stochastic process model-log dimensions,https://www.sciencedirect.com/science/article/pii/S0306437924000401,Volume 124,September 2024
Special Issue with Best Papers from ICPM 2022,https://www.sciencedirect.com/science/article/pii/S0306437924000474,Volume 124,September 2024
Recognizing task-level events from user interaction data,https://www.sciencedirect.com/science/article/pii/S0306437924000620,Volume 124,September 2024
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437924000528,Volume 123,July 2024
"An inter-modal attention-based deep learning framework using unified modality for multimodal fake news, hate speech and offensive language detection",https://www.sciencedirect.com/science/article/pii/S030643792400036X,Volume 123,July 2024
A graph neural network with topic relation heterogeneous multi-level cross-item information for session-based recommendation,https://www.sciencedirect.com/science/article/pii/S0306437924000383,Volume 123,July 2024
The rise of nonnegative matrix factorization: Algorithms and applications,https://www.sciencedirect.com/science/article/pii/S0306437924000371,Volume 123,July 2024
Blockchain technology for requirement traceability in systems engineering,https://www.sciencedirect.com/science/article/pii/S0306437924000425,Volume 123,July 2024
"Cube query interestingness: Novelty, relevance, peculiarity and surprise",https://www.sciencedirect.com/science/article/pii/S0306437924000395,Volume 123,July 2024
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437924000310,Volume 122,May 2024
"Process Query Language: Design, Implementation, and Evaluation",https://www.sciencedirect.com/science/article/pii/S0306437923001734,Volume 122,May 2024
Secure multi-dimensional data retrieval with access control and range query in the cloud,https://www.sciencedirect.com/science/article/pii/S0306437924000012,Volume 122,May 2024
Enterprise sellers’ satisfaction with business-to-business cross-border e-commerce platforms: Alibaba.com as an example,https://www.sciencedirect.com/science/article/pii/S0306437924000061,Volume 122,May 2024
